FilePath,Instance,MaxCycleLength,MaxChainLength,DegreeType,Preference,TimeTaken,TimeLimit,Status,ObjectiveValue,Cycles,Chains,AverageChainLength,AverageCycleLength,HighlySensitizedPercentage
/Users/juliusmiers/KidneyExchangeOptimization/out/PrefLib/6_cycle_length/7_chain_length/Kidney_Matching_17_1/KP_Num11_N17_A1.txt_cycle6_chain7.txt,KP_Num11_N17_A1.txt,6.0,7.0,Indegree,CY,0.041714,20.0,Optimal,11.0,"[[6, 12, 9, 5], [11, 15], [14, 3, 2]]","[[16, 0, 4]]",2.0,3.0,0.0
/Users/juliusmiers/KidneyExchangeOptimization/out/PrefLib/6_cycle_length/7_chain_length/Kidney_Matching_17_1/KP_Num20_N17_A1.txt_cycle6_chain7.txt,KP_Num20_N17_A1.txt,6.0,7.0,Indegree,CY,0.009718,20.0,Optimal,8.0,"[[9, 3, 11]]","[[16, 2, 8, 14, 5, 4]]",5.0,3.0,0.0
/Users/juliusmiers/KidneyExchangeOptimization/out/PrefLib/6_cycle_length/7_chain_length/Kidney_Matching_17_1/KP_Num12_N17_A1.txt_cycle6_chain7.txt,KP_Num12_N17_A1.txt,6.0,7.0,Indegree,CY,0.00724,20.0,Optimal,5.0,"[[10, 11, 0]]","[[16, 8, 7]]",2.0,3.0,0.0
/Users/juliusmiers/KidneyExchangeOptimization/out/PrefLib/6_cycle_length/7_chain_length/Kidney_Matching_17_1/KP_Num14_N17_A1.txt_cycle6_chain7.txt,KP_Num14_N17_A1.txt,6.0,7.0,Indegree,CY,0.011574,20.0,Optimal,9.0,"[[1, 5, 9], [4, 14, 15, 8, 13]]","[[16, 3]]",1.0,4.0,0.0
/Users/juliusmiers/KidneyExchangeOptimization/out/PrefLib/6_cycle_length/7_chain_length/Kidney_Matching_17_1/KP_Num17_N17_A1.txt_cycle6_chain7.txt,KP_Num17_N17_A1.txt,6.0,7.0,Indegree,CY,0.042254,20.0,Optimal,6.0,"[[2, 11], [1, 7]]","[[16, 4, 9]]",2.0,2.0,0.0
/Users/juliusmiers/KidneyExchangeOptimization/out/PrefLib/6_cycle_length/7_chain_length/Kidney_Matching_17_1/KP_Num19_N17_A1.txt_cycle6_chain7.txt,KP_Num19_N17_A1.txt,6.0,7.0,Indegree,CY,0.014188,20.0,Optimal,11.0,"[[15, 13], [7, 8, 1, 10]]","[[16, 14, 11, 0, 9, 5]]",5.0,3.0,0.0
/Users/juliusmiers/KidneyExchangeOptimization/out/PrefLib/6_cycle_length/7_chain_length/Kidney_Matching_17_1/KP_Num18_N17_A1.txt_cycle6_chain7.txt,KP_Num18_N17_A1.txt,6.0,7.0,Indegree,CY,0.016946,20.0,Optimal,7.0,"[[3, 8, 12, 15, 5]]","[[16, 4, 14]]",2.0,5.0,0.0
/Users/juliusmiers/KidneyExchangeOptimization/out/PrefLib/6_cycle_length/7_chain_length/Kidney_Matching_17_1/KP_Num16_N17_A1.txt_cycle6_chain7.txt,KP_Num16_N17_A1.txt,6.0,7.0,Indegree,CY,0.031835,20.0,Optimal,12.0,"[[4, 14, 8, 12], [15, 5], [6, 11, 13, 7]]","[[16, 2, 1]]",2.0,3.33333,0.0
/Users/juliusmiers/KidneyExchangeOptimization/out/PrefLib/6_cycle_length/7_chain_length/Kidney_Matching_17_1/KP_Num15_N17_A1.txt_cycle6_chain7.txt,KP_Num15_N17_A1.txt,6.0,7.0,Indegree,CY,0.031174,20.0,Optimal,16.0,"[[1, 11, 0, 10], [12, 6, 8, 2], [14, 9, 3], [13, 5, 4, 15]]","[[16, 7]]",1.0,3.75,0.0
/Users/juliusmiers/KidneyExchangeOptimization/out/PrefLib/6_cycle_length/7_chain_length/Kidney_Matching_17_1/KP_Num13_N17_A1.txt_cycle6_chain7.txt,KP_Num13_N17_A1.txt,6.0,7.0,Indegree,CY,0.007023,20.0,Optimal,4.0,"[[6, 3]]","[[16, 0, 12]]",2.0,2.0,0.0
