0_Information;Cycle/chain mdoe;Degree type;Execution date;File;Folder;Input path;Max chain length;Max cycle length;Output path;Path;Time limit
0_Value;CY;Indegree;2024-11-05;KP_Num2_N16_A0;Kidney_Matching_16_0;/Users/juliusmiers/CodingWS24/ORSeminar/instances/PrefLib/Kidney_Matching_16_0/KP_Num2_N16_A0.txt;6;6;/Users/juliusmiers/CodingWS24/ORSeminar/out/PrefLib/Kidney_Matching_16_0/KP_Num2_N16_A0.txt;/Users/juliusmiers/CodingWS24/ORSeminar/instances/PrefLib;15


 Step;                               Task;                               File;      Line;                 Function;        Time(s);        Time(%);     Memory(GB);      Memory(%);         CPU(%);Comment;
    0;                    Read user input;                           main.cpp;        43;                     main;         0.0000;         0.2882;         0.0312;         0.2460;         0.0000;     ;
    1;                 Read instance file;                           main.cpp;        52;                     main;         0.0004;         3.6821;         0.2656;         2.0910;         0.0000;     ;
    2;            Configure solution mode;                           main.cpp;        77;                     main;         0.0000;         0.0058;         0.2656;         2.0910;         0.0000;     ;
    3;              --->>--- MDD ---<<---;               AugmentedNetwork.cpp;       384;                BuildMDDs;         0.0000;         0.0065;         0.2656;         2.0910;         0.0000;     ;
    4;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         1.0048;         0.3438;         2.7060;         0.0000;     ;
    5;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0000;         0.4038;         0.3438;         2.7060;         0.0000;     ;
    6;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0000;         0.4002;         0.3438;         2.7060;         0.0000;     ;
    7;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0000;         0.4088;         0.3438;         2.7060;         0.0000;     ;
    8;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0000;         0.4247;         0.3438;         2.7060;         0.0000;     ;
    9;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0000;         0.4283;         0.3438;         2.7060;         0.0000;     ;
   10;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.7982;         0.3594;         2.8290;         0.0000;     ;
   11;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.8119;         0.3594;         2.8290;         0.0000;     ;
